phrases,tagged_phrases
looked,looked vbd
looking,looking vbg
looks,looks nns
looks good,looks nns good jj
loop,loop nn
loops,loops nns
loose,loose jj
loosen skid,loosen nn skid nn
loosing,loosing vbg
loss,loss nn
lost,lost vbn
louver,louver nn
louver installed,louver nn installed vbd
louvers,louvers nns
louversthis,louversthis nn
louvre,louvre nn
low,low jj
lowered,lowered vbn
ltd,ltd nn
lube,lube nn
lubricate,lubricate nn
lubricated,lubricated vbn
lubricating,lubricating vbg
lubrication,lubrication nn
luricated,luricated vbn
lying,lying vbg
m,m nn
machine,machine nn
mact,mact nn
made,made vbn
magnetic,magnetic jj
main,main jj
maintained,maintained vbn
maintains,maintains nns
maintains hazardous,maintains nns hazardous jj
maintenance,maintenance nn
major,major jj
majority,majority nn
make,make vb
make required,make nn required vbn
maked,maked nns
makers,makers nns
makine,makine nn
making,making vbg
man,man nn
manifold,manifold nn
manifold tested,manifold rb tested vbn
manifolds,manifolds nns
manual,manual jj
manuallythis,manuallythis nn
map,map nn
mar,mar nn
marcelo,marcelo nn
march,march nn
marine,marine nn
marked,marked nns
marker,marker nn
markers,markers nns
marking,marking vbg
marks,marks nns
mass,mass nn
material,material nn
materials,materials nns
max,max nn
maximum,maximum nn
may be performed,may md be vb performed vbn
may have been,may md have vb been vbn
mcc,mcc nn
mccchecks,mccchecks nns
meas,meas nns
measure,measure nn
measured,measured vbn
measurements,measurements nns
measures,measures nns
measuring,measuring vbg
measurment,measurment nn
measused,measused vbn
mechancics,mechancics nns
mechanical,mechanical jj
mechanically prepped,mechanically rb prepped vbd
mechanics,mechanics nns
mechanism,mechanism nn
medium,medium nn
meets,meets nns
meg,meg nn
mega,mega nn
megg,megg nn
megged,megged vbn
megger,megger nn
meggered,meggered vbn
megging,megging vbg
megohm,megohm nn
megohmes,megohmes nns
megohms,megohms nn
mentioned,mentioned vbn
meter,meter nn
meter good,meter rb good jj
meters,meters nns
methodology,methodology nn
min,min nn
minimal,minimal nn
minimum,minimum nn
minmohm,minmohm nn
minmohms,minmohms nn
minor,minor nn
mins,mins nns
mins g,mins nns g vbp
mins m,mins nns m vbp
mins pi,mins nns pi vbp
minute,minute nn
minutes,minutes nns
missing,missing vbg
mit,mit nn
mm,mm nn
mmc,mmc nn
mmmm,mmmm nn
mms,mms nn
mobile,mobile nn
moc,moc nn
mode,mode nn
model,model nn
modules,modules nns
mohm,mohm nn
mohms,mohms nn
moisture,moisture nn
molded,molded vbn
mon,mon nn
money,money nn
monitor,monitor nn
monitored,monitored vbd
monitoring,monitoring nn
month,month nn
months,months nns
moores,moores nns
mot,mot nn
moter,moter nn
motor,motor nn
motors,motors nns
motorthis,motorthis nn
motos,motos nns
motr,motr nn
mount,mount nn
mounted,mounted vbn
mounting,mounting vbg
mountings,mountings nns
mounts,mounts nns
moved,moved vbn
movement,movement nn
moving,moving vbg
mp,mp nn
mpa,mpa nn
mpb,mpb nn
mph,mph nn
mrach,mrach nn
mrumapathi,mrumapathi nn
msn created,msn nn created vbd
mtor,mtor nn
mtr,mtr nn
much,much jj
mud,mud nn
mud contacted,mud nn contacted vbd
mud pump,mud nn pump nn
multiple,multiple nn
mumbai,mumbai nn
must be added,must md be vb added vbn
must be installed,must md be vb installed vbn
must be performed,must md be vb performed vbn
must be replaced,must md be vb replaced vbn
n,n nn
n anot,n rb anot nn
na,na nns
na free,na rb free jj
na na,na to_pos na nns
name,name nn
nameplate,nameplate nn
nameplate in place,nameplate nn in in_pos place nn
nameplates,nameplates nns
napro,napro nns
nc,nc nn
nd,nd nn
nde,nde nn
nde degree,nde nns degree vbp
ndec,ndec nn
necessary,necessary jj
need,need nn
needed,needed vbn
needing,needing vbg
needs,needs nns
negraes,negraes nn
never installed,never rb installed vbn
new,new jj
next,next jj
nf,nf nn
nichols,nichols nns
nicks,nicks nns
night,night nn
nitrogen,nitrogen nn
no ability,no dt ability nn
no abnormal,no dt abnormal jj
no abnormalities,no dt abnormalities nns
no abnormality,no dt abnormality nn
no action,no dt action nn
no active,no dt active jj
no air,no dt air nn
no anomalies,no dt anomalies nns
no anomolies,no dt anomolies nns
no apparent,no dt apparent nn
no apparnt,no dt apparnt nn
no appicable,no dt appicable jj
no applicable,no dt applicable jj
no bearing,no dt bearing nn
no bolt,no dt bolt nn
no bolts,no dt bolts nns
no broken,no dt broken nn
no build,no dt build nn
no buildup,no dt buildup nn
no cables,no dt cables nns
no close,no dt close nn
no condensation,no dt condensation nn
no coolant,no dt coolant nn
no corrosion,no dt corrosion nn
no crack,no dt crack nn
no cracked,no dt cracked nn
no cracks,no dt cracks nns
no crcaks,no dt crcaks nn
no current,no dt current jj
no cuts,no dt cuts nns
no damage,no dt damage nn
no damages,no dt damages nns
no damge,no dt damge nn
no data,no dt data nn
no debris,no dt debris nn
no defeciencies,no dt defeciencies nns
no defect,no dt defect nn
no defects,no dt defects nns
no demister,no dt demister nn
no deviations,no dt deviations nns
no dirt,no dt dirt nn
no discrepancies,no dt discrepancies nns
no door,no dt door nn
no drain,no dt drain nn
no dust,no dt dust nn
no earth,no dt earth nn
no encoder,no dt encoder nn
no excess,no dt excess jj
no excessive,no dt excessive jj
no external,no dt external jj
no fan,no dt fan nn
no faults,no dt faults nns
no filter,no dt filter nn
no filters,no dt filters nns
no found,no dt found nn
no function,no dt function nn
no greasing,no dt greasing nn
no ground,no dt ground nn
no heater,no dt heater nn
no heaters,no dt heaters nns
no hot,no dt hot jj
no immediate,no dt immediate jj
no initial,no dt initial jj
no isssues,no dt isssues nns
no issue,no dt issue nn
no issues,no dt issues nns
no issures,no dt issures nns
no kinks,no dt kinks nns
no leak,no dt leak nn
no leaks,no dt leaks nns
no loose,no dt loose jj
no lubrication,no dt lubrication nn
no maint,no dt maint nn
no major,no dt major jj
no mechanical,no dt mechanical jj
no moisture,no dt moisture nn
no motor,no dt motor nn
no mud,no dt mud nn
no necessary,no dt necessary jj
no need,no dt need nn
no nicks,no dt nicks nns
no noise,no dt noise nn
no noises,no dt noises nns
no notable,no dt notable jj
no observable,no dt observable jj
no other,no dt other jj
no overheating,no dt overheating nn
no paint,no dt paint nn
no pdcm,no dt pdcm nn
no pi,no dt pi nn
no possible,no dt possible jj
no power,no dt power nn
no precharge,no dt precharge nn
no problem,no dt problem nn
no problems,no dt problems nns
no pulsation,no dt pulsation nn
no pumps,no dt pumps nns
no remote,no dt remote nn
no repairs,no dt repairs nns
no replacements,no dt replacements nns
no rust,no dt rust nn
no screens,no dt screens nns
no sign,no dt sign nn
no signal,no dt signal nn
no signs,no dt signs nns
no spark,no dt spark nn
no speed,no dt speed nn
no start,no dt start nn
no substantial,no dt substantial jj
no success,no dt success nn
no thread,no dt thread nn
no time,no dt time nn
no unusual,no dt unusual jj
no vibration,no dt vibration nn
no vibrations,no dt vibrations nns
no visable,no dt visable jj
no visible,no dt visible jj
no visual,no dt visual jj
no water,no dt water nn
no were,no dt were vbd
no window,no dt window nn
noise,noise nn
noise documented,noise rb documented vbn
noise found,noise nn found vbd
noise noted,noise rb noted vbn
noise observed,noise nn observed vbd
noises,noises nns
noisesno,noisesno nn
noisesok,noisesok nn
nominal,nominal jj
non,non nn
non issued,non nn issued vbd
nonclosed,nonclosed vbn
nondrive,nondrive jj
none,none nn
normal,normal jj
not able,not rb able jj
not abnormal,not rb abnormal jj
not accessible,not rb accessible jj
not achieved,not rb achieved vbn
not applicable,not rb applicable jj
not available,not rb available jj
not been,not rb been vbn
not calibrated,not rb calibrated vbn
not come,not rb come vb
not complete,not rb complete jj
not completed,not rb completed vbn
not conducted,not rb conducted vbn
not corroded,not rb corroded vbn
not damaged,not rb damaged vbn
not degraded,not rb degraded vbn
not done,not rb done vbn
not due,not rb due jj
not equiped,not rb equiped vbn
not equipped,not rb equipped vbn
not fitted,not rb fitted vbn
not found,not rb found vbn
not gresed,not rb gresed vbn
not had,not rb had vbd
not in good shape,not rb in in_pos good jj shape nn
not in hazardous area,not rb in in_pos hazardous jj area nn
not in operation,not rb in in_pos operation nn
not in place,not rb in in_pos place nn
not in use,not rb in in_pos use nn
not inspected,not rb inspected vbn
not installed,not rb installed vbn
not lift,not rb lift vb
not listed,not rb listed vbn
not located,not rb located vbn
not necessary,not rb necessary jj
not needed,not rb needed vbn
not noticed,not rb noticed vbn
not observed,not rb observed vbn
not other,not rb other jj
not performed,not rb performed vbn
not possible,not rb possible jj
not ran,not rb ran vb
not reached,not rb reached vbn
not removed,not rb removed vbn
not required,not rb required vbn
not soft,not rb soft jj
not started,not rb started vbn
not suitable,not rb suitable jj
not sure,not rb sure jj
not taken,not rb taken vbn
not tripped,not rb tripped vbn
not used,not rb used vbn
not wired,not rb wired vbn
note,note nn
noted,noted vbn
notedbearing,notedbearing vbg
notedor,notedor nn
notes,notes nns
notethe,notethe nn
notethis,notethis nn
nothing,nothing nn
noticed,noticed vbn
notices,notices nns
nov,nov nn
november,november nn
now been,now rb been vbn
now complete,now rb complete jj
now in use,now rb in in_pos use nn
now performed,now rb performed vbn
nromal,nromal jj
nspected,nspected vbn
number,number nn
numberthis,numberthis nn
nuts,nuts nns
o,o nn
observed,observed vbn
oem,oem nn
oer,oer nn
oerdid,oerdid nn
of abnormal vibration,of in_pos abnormal jj vibration nn
of ac,of in_pos ac nn
of ac motor,of in_pos ac nns motor nn
of air,of in_pos air nn
of analysis,of in_pos analysis nn
of b,of in_pos b nn
of bar,of in_pos bar nn
of blower,of in_pos blower nn
of build,of in_pos build nn
of c,of in_pos c nns
of closed loop,of in_pos closed jj loop nn
of concern,of in_pos concern nn
of corrosion,of in_pos corrosion nn
of cyprina,of in_pos cyprina nn
of damage,of in_pos damage nn
of debris,of in_pos debris nn
of defective motor,of in_pos defective jj motor nn
of demister,of in_pos demister nn
of differential pressure,of in_pos differential jj pressure nn
of dirt,of in_pos dirt nn
of discoloration,of in_pos discoloration nn
of distress,of in_pos distress nn
of drive,of in_pos drive nn
of drive cabinet,of in_pos drive jj cabinet nn
of drive motor,of in_pos drive nn motor nn
of dust,of in_pos dust nn
of earth,of in_pos earth nn
of equipment,of in_pos equipment nn
of ex,of in_pos ex nn
of excessive heat,of in_pos excessive jj heat nn
of excessive noise,of in_pos excessive jj noise nn
of exterior,of in_pos exterior jj
of floor,of in_pos floor nn
of grease,of in_pos grease nn
of hardware,of in_pos hardware nn
of heat,of in_pos heat nn
of improper lubrication,of in_pos improper jj lubrication nn
of infrared temperature,of in_pos infrared jj temperature nn
of inpsection,of in_pos inpsection nn
of inspection,of in_pos inspection nn
of jbox,of in_pos jbox nn
of job,of in_pos job nn
of junction,of in_pos junction nn
of leakage,of in_pos leakage nn
of local control,of in_pos local jj control nn
of local motor,of in_pos local jj motor nn
of loosening,of in_pos loosening vbg
of low i,of in_pos low jj i nn
of lubrication,of in_pos lubrication nn
of mechanical damage,of in_pos mechanical jj damage nn
of mechanical engineering,of in_pos mechanical jj engineering nn
of misalignment,of in_pos misalignment nn
of motor,of in_pos motor nn
of motora,of in_pos motora nns
of mpa,of in_pos mpa nn
of mud,of in_pos mud nn
of mud pump,of in_pos mud nn pump nn
of note,of in_pos note nn
of nov engineer,of in_pos nov nns engineer vbp
of nowthe rla,of in_pos nowthe jj rla nn
of o ohms,of in_pos o jj ohms nn
of oil,of in_pos oil nn
of old motor,of in_pos old jj motor nn
of pa,of in_pos pa nn
of plate,of in_pos plate nn
of pm,of in_pos pm nn
of pms,of in_pos pms nn
of primer,of in_pos primer nn
of proposal,of in_pos proposal nn
of psi bar,of in_pos psi jj bar nn
of pumpwhen,of in_pos pumpwhen nn
of remote motor,of in_pos remote jj motor nn
of remote start,of in_pos remote jj start nn
of rig,of in_pos rig nn
of rust,of in_pos rust nn
of rust dirt,of in_pos rust nn dirt nn
of space,of in_pos space nn
of start,of in_pos start nn
of sufficient air,of in_pos sufficient jj air nn
of test,of in_pos test nn
of time,of in_pos time nn
of usage,of in_pos usage nn
of use,of in_pos use nn
of vibration,of in_pos vibration nn
of water,of in_pos water nn
off maintained,off rb maintained vbd
off motor,off in_pos motor nn
offered,offered vbn
offline,offline nn
ofrattlig,ofrattlig nn
ohm,ohm nn
ohms,ohms nn
ohms made,ohms nns made vbd
ohms min,ohms nns min nn
ohms pi,ohms nn pi nn
oil,oil nn
ok,ok nn
ok inspected,ok rb inspected vbn
ok performed,ok nn performed vbd
ok recorded,ok nn recorded vbd
ok thread damage,ok jj thread nn damage nn
okay,okay nn
old,old jj
on ac,on in_pos ac nn
on ac motor,on in_pos ac nns motor nn
on after switch,on in_pos after in_pos switch nn
on b,on in_pos b nn
on barrier,on in_pos barrier nn
on belt,on in_pos belt nn
on blower,on in_pos blower nn
on board,on in_pos board nn
on bus,on in_pos bus nn
on buss,on in_pos buss nn
on cabinet,on in_pos cabinet nn
on cable,on in_pos cable nn
on cement,on in_pos cement nn
on checked mud,on in_pos checked vbn mud nn
on closed loop,on in_pos closed jj loop nn
on completion,on in_pos completion nn
on contact,on in_pos contact nn
on contactor,on in_pos contactor nn
on cover,on in_pos cover nn
on cubicle,on in_pos cubicle nn
on current condition,on in_pos current jj condition nn
on day,on in_pos day nn
on dc,on in_pos dc nn
on de,on in_pos de nns
on demister,on in_pos demister nn
on document,on in_pos document nn
on drive,on in_pos drive nn
on duct,on in_pos duct nn
on earth,on in_pos earth nn
on encoder,on in_pos encoder nn
on equipment,on in_pos equipment nn
on exterior,on in_pos exterior jj
on exterior motor,on in_pos exterior jj motor nn
on fall,on in_pos fall nn
on feb cleaning,on in_pos feb nns cleaning vbg
on floor,on in_pos floor nn
on from dayshift,on in_pos from in_pos dayshift nn
on front,on in_pos front nn
on fwd side,on in_pos fwd jj side nn
on good condition,on in_pos good jj condition nn
on ground,on in_pos ground nn
on hmi vfdcabinet,on in_pos hmi nns vfdcabinet nn
on impleller,on in_pos impleller nn
on in conjunction,on in_pos in in_pos conjunction nn
on inlet,on in_pos inlet nn
on interior,on in_pos interior nn
on investigation,on in_pos investigation nn
on issue,on in_pos issue nn
on j,on in_pos j nn
on jan,on in_pos jan nn
on jbs,on in_pos jbs nn
on job,on in_pos job nn
on july,on in_pos july nn
on junction,on in_pos junction nn
on june,on in_pos june nn
on leak,on in_pos leak nn
on main ac,on in_pos main jj ac nn
on main contactor,on in_pos main jj contactor nn
on main power,on in_pos main jj power nn
on march,on in_pos march nn
on mcc,on in_pos mcc nn
on mcc step,on in_pos mcc jj step nn
on mcc test,on in_pos mcc jj test nn
on motor,on in_pos motor nn
on mp,on in_pos mp nn
on mp drive,on in_pos mp nns drive vbp
on mpa,on in_pos mpa nn
on mpb,on in_pos mpb nn
on mud,on in_pos mud nn
on mud pump,on in_pos mud nn pump nn
on mudpump,on in_pos mudpump nn
on nde,on in_pos nde nns
on nonclosed loop,on in_pos nonclosed jj loop nn
on normal mode,on in_pos normal jj mode nn
on nov cleaning,on in_pos nov nns cleaning vbg
on off control,on in_pos off rp control nn
on order,on in_pos order nn
on place,on in_pos place nn
on pm,on in_pos pm nn
on pump,on in_pos pump nn
on rd,on in_pos rd nn
on remote,on in_pos remote nn
on shift,on in_pos shift nn
on space,on in_pos space nn
on start,on in_pos start nn
on starter,on in_pos starter nn
on stop start,on in_pos stop jj start nn
on top,on in_pos top nn
on toughbook,on in_pos toughbook nn
on urgent order,on in_pos urgent jj order nn
on vibration,on in_pos vibration nn
on without problem,on in_pos without in_pos problem nn
onboard,onboard nn
one,one cd
ones,ones nns
onethen,onethen nn
ongoing,ongoing vbg
online,online nn
only due,only rb due jj
only if relief plug,only rb if in_pos relief nn plug nn
only old,only rb old jj
only on nonclosed loop,only rb on in_pos nonclosed vbn loop nn
only on nonsealed bearing,only rb on in_pos nonsealed jj bearing nn
only small,only rb small jj
oof,oof nn
oos,oos nn
open,open jj
opened,opened vbn
opening,opening nn
operated,operated vbn
operates in make,operates nns in in_pos make nn
operating,operating nn
operation,operation nn
operational,operational jj
operations,operations nns
operaton,operaton nn
opinion,opinion nn
opion,opion nn
oporation,oporation nn
opportunity,opportunity nn
oppurtunity,oppurtunity nn
ops,ops nns
optimized,optimized vbn
order,order nn
ordered,ordered vbn
ordering,ordering vbg
original,original jj
originally created,originally rb created vbn
os,os nn
other,other jj
others,others nns
out b,out in_pos b nn
out inspection,out in_pos inspection nn
out multiple time,out in_pos multiple jj time nn
out of adjustment,out in_pos of in_pos adjustment nn
out of belt,out in_pos of in_pos belt nn
out of service,out in_pos of in_pos service nn
out p,out in_pos p nn
out visual inspection,out in_pos visual jj inspection nn
outer,outer nn
outlet,outlet nn
outside of ductwork,outside in_pos of in_pos ductwork nn
over hp lubrication,over in_pos hp jj lubrication nn
over voltage,over in_pos voltage nn
overall,overall jj
overgreased,overgreased vbn
overhaul,overhaul nn
overhauled,overhauled vbn
overhauling,overhauling vbg
overheated,overheated vbn
overheating,overheating vbg
overheatno,overheatno nn
overlal,overlal nn
overload,overload nn
overnde,overnde nn
overvoltage,overvoltage nn
owirs,owirs nns
own,own jj
p,p nn
pa,pa nn
pablo,pablo nn
pack,pack nn
package,package nn
packings,packings nns
pages,pages nns
paint,paint nn
painted,painted vbn
palte,palte nn
pan,pan nn
panel,panel nn
paper,paper nn
parameter,parameter nn
parameters,parameters nns
paramters,paramters nns
part,part nn
parted,parted vbn
particles,particles nns
parts,parts nns
party,party nn
pass,pass nn
passed,passed vbn
past,past nn
past bearing,past in_pos bearing nn
pb,pb nn
pecker,pecker nn
peckerhead,peckerhead nn
peices,peices nns
pencil,pencil nn
pending,pending vbg
peoper,peoper nn
per first tag,per in_pos first jj tag nn
per oem,per in_pos oem nn
per pm,per in_pos pm nn
percentage,percentage nn
perfect,perfect nn
perfomed,perfomed vbn
perform,perform nn
performed,performed vbn
performing,performing vbg
period,period nn
periodic,periodic nn
permits,permits nns
person,person nn
personnel,personnel nns
perto,perto nn
phase,phase nn
phases,phases nns
photos,photos nns
physically checked,physically rb checked vbn
physically examined,physically rb examined vbn
physically impossible,physically rb impossible jj
pi,pi nn
picked,picked nns
pics,pics nns
picture,picture nn
pictures,pictures nns
pictures attached,pictures nns attached vbd
pilled,pilled vbn
pilot,pilot nn
pipe,pipe nn
pipe pressuretested,pipe nn pressuretested vbd
pipes,pipes nns
piping,piping vbg
pistons,pistons nns
pit,pit nn
pits,pits nns
pitting,pitting vbg
piump,piump nn
place,place nn
placed,placed vbn
placeensured,placeensured vbn
places,places nns
placing,placing vbg
plain,plain nn
plan,plan nn
planned,planned vbn
planning,planning nn
plate,plate nn
platerestored,platerestored vbn
plates,plates nns
plates present,plates nns present jj
please,please nn
plenty,plenty nn
pltd,pltd nn
plug,plug nn
plugs,plugs nns
plusation,plusation nn
pm,pm nn
pm carried,pm nn carried vbd
pm completed,pm nn completed vbd
pms,pms nn
pmsr,pmsr nn
po,po nn
point,point nn
points,points nns
polarization,polarization nn
policies,policies nns
pop,pop nn
port,port nn
ports,ports nns
position,position nn
possible,possible jj
possibley,possibley nn
pot,pot nn
pounds,pounds nns
power,power nn
ppe,ppe nn
pr,pr nn
practice,practice nn
prcharged,prcharged vbn
pre,pre nn
precharge,precharge nn
precharged,precharged vbn
preformed,preformed vbn
prelectronics,prelectronics nns
prep,prep nn
preparation,preparation nn
prepared,prepared jj
present,present nn
present sealed,present nn sealed vbd
presentation,presentation nn
presents,presents nns
preset,preset nn
pressure,pressure nn
pressure tested,pressure nn tested vbd
pressures,pressures nns
pretty,pretty rb
prevented,prevented vbn
prevents,prevents nns
previous,previous jj
previously inspected,previously rb inspected vbn
previously opened,previously rb opened vbn
previously returned,previously rb returned vbn
primeaux,primeaux nn
primed,primed vbn
prior,prior rb
priority,priority nn
probes,probes nns
problem,problem nn
problems,problems nns
procedure,procedure nn
procedures,procedures nns
process,process nn
product,product nn
production,production nn
program,program nn
progress,progress nn
prompted,prompted vbn
proof,proof nn
proper,proper nn
properley,properley nn
properly,properly rb
properly at time,properly rb at in_pos time nn
properly checked,properly rb checked vbn
properly cleaned,properly rb cleaned vbn
properly control,properly rb control nn
properly greased,properly rb greased vbn
properly isolated,properly rb isolated vbn
properly lubricated,properly rb lubricated vbn
properly made,properly rb made vbn
properly marked,properly rb marked vbn
properly note,properly rb note nn
properly on standpipe,properly rb on in_pos standpipe nn
properly purpose,properly rb purpose nn
properly removed,properly rb removed vbn
properly routed,properly rb routed vbn
properly started,properly rb started vbd
properly tested,properly rb tested vbn
properly tight,properly rb tight nn
properly tightens,properly rb tightens nns
properly torqued,properly rb torqued vbn
properly used,properly rb used vbn
protected,protected vbn
protective,protective nn
proteus,proteus nn
provided,provided vbn
prox,prox nn
proximity,proximity nn
prv,prv nn
prvs,prvs nn
psi,psi nn
pte,pte nn
ptw,ptw nn
puck,puck nn
pulled,pulled vbd
pulley,pulley nn
pulling,pulling vbg
pulsation,pulsation nn
pump,pump nn
pumpd,pumpd nn
pumped,pumped nn
pumping,pumping vbg
pumps,pumps nns
purifiers,purifiers nns
purpose,purpose nn
push,push nn
pushbuttons,pushbuttons nns
put,put nn
putensured,putensured vbn
qty,qty nn
qty requested,qty nn requested vbd
qualified,qualified vbn
quick,quick nn
quotation,quotation nn
quote,quote nn
quote recieved,quote nn recieved vbd
quotes,quotes nns
r,r nn
ra,ra nn
rag,rag nn
raised,raised vbn
rajah,rajah nn
ran,ran nn
range,range nn
rating,rating nn
rattling,rattling vbg
re,re nn
rea,rea nn
reached,reached vbn
reactivation,reactivation nn
read,read nn
readable,readable jj
reading,reading nn
readings,readings nns
reads,reads nns
readt,readt nn
ready,ready jj
really loose,really rb loose jj
reasonably clean,reasonably rb clean jj
reassembling,reassembling vbg
rebuilt,rebuilt nn
received,received vbn
recent,recent jj
recently changed,recently rb changed vbn
recently replaced,recently rb replaced vbd
recevid,recevid nn
recevied,recevied vbn
recieved,recieved vbn
recommendation,recommendation nn
recommendations,recommendations nns
reconnected,reconnected vbn
reconnecting,reconnecting vbg
record,record nn
recorded,recorded vbn
recording,recording vbg
records,records nns
recored,recored vbn
rectified,rectified vbn
red,red jj
redings,redings nns
reduced,reduced vbn
reel,reel nn
ref,ref nn
refer,refer nn
refered,refered vbn
reference,reference nn
references,references nns
referred,referred vbn
reflecting,reflecting vbg
refur,refur nn
regards,regards nns
register,register nn
regular,regular jj
reinstalled,reinstalled vbn
reisolated,reisolated vbn
related,related jj
relay,relay nn
relays,relays nns
released,released vbn
relevant,relevant nn
reliability,reliability nn
relief,relief nn
remaining,remaining vbg
remegged,remegged vbn
remote,remote nn
removal,removal nn
remove,remove vb
removed,removed vbn
removing,removing vbg
repainting,repainting vbg
repair,repair nn
repair return,repair nn return nn
repaired,repaired vbn
repairs,repairs nns
repalced,repalced vbn
replacable,replacable jj
replaced,replaced vbn
replacement,replacement nn
replacing,replacing vbg
report,report nn
reported,reported vbd
reporting,reporting nn
reports,reports nns
repositioned,repositioned vbn
req,req nn
reqlabor,reqlabor nn
reqrental,reqrental nn
reqs,reqs nn
request,request nn
requested,requested vbn
required,required vbn
requirement,requirement nn
requirements,requirements nns
requirementschecks,requirementschecks nns
requiring,requiring vbg
requirments,requirments nns
requisition,requisition nn
requred,requred vbn
rescheduled,rescheduled vbn
reset,reset nn
resistance,resistance nn
resistances,resistances nns
respective,respective nn
rest,rest nn
restored,restored vbn
results,results nns
resultsthe,resultsthe nn
resume,resume nn
resumed,resumed vbd
retaped,retaped nn
retested,retested vbn
retightened,retightened vbn
return,return nn
returned,returned vbn
returning,returning vbg
revealed,revealed vbd
review,review nn
reviewed,reviewed vbn
reviewing,reviewing vbg
revised,revised vbn
rig,rig nn
rig up,rig nn up rp
rigged,rigged vbn
ring,ring nn
rio,rio nn
riser,riser nn
rmr,rmr nn
rms,rms nns
roger,roger nn
room,room nn
roomthis,roomthis nn
rotated,rotated vbn
rotating,rotating vbg
rotation,rotation nn
rpm,rpm nn
rrkg,rrkg nn
rtd,rtd nn
rtds,rtds nn
rubber,rubber nn
rubbing,rubbing vbg
run,run vb
runnig,runnig nn
running,running vbg
runningand,runningand nn
runningthere,runningthere rb
rust,rust nn
rusted,rusted vbn
s,s nn
safe,safe jj
safety,safety nn
said,said vbd
sailing,sailing vbg
same,same jj
sampey,sampey nn
sand,sand nn
santos,santos nn
sat,sat nn
satisfactory,satisfactory nn
satisfatory,satisfatory nn
saved,saved vbn
saw,saw nn
schroud,schroud nn
scope,scope nn
screen,screen nn
screens,screens nns
screws,screws nns
scuerd,scuerd nn
seal,seal nn
sealed,sealed vbn
seals,seals nns
seated,seated vbn
secm,secm nn
secs,secs nn
section,section nn
sections,sections nns
secuerd,secuerd nn
secuered,secuered vbn
secure,secure nn
secure carried,secure nn carried vbd
secured,secured vbn
securely fastened,securely rb fastened vbn
securing,securing vbg
see,see vb
see attached,see vb attached jj
seeking,seeking vbg
seelan,seelan nn
seen,seen vbn
seepage,seepage nn
selected,selected vbn
send,send nn
senior,senior jj
sense,sense nn
sensor,sensor nn
sensors,sensors nns
sent,sent nn
separate,separate jj
separated,separated vbn
separator,separator nn
seperator,seperator nn
sequence,sequence nn
serial,serial jj
servicable,servicable jj
service,service nn
serviced,serviced vbn
services,services nns
set,set nn
sethascope,sethascope nn
setting,setting vbg
settings,settings nns
setup,setup nn
several,several jj
shack,shack nn
shackles,shackles nns
shaft,shaft nn
shall be pleased,shall md be vb pleased jj
shape,shape nn
sharing,sharing vbg
sheared,sheared vbn
shield,shield nn
shifted,shifted vbn
shipping,shipping nn
shooting,shooting vbg
shop,shop nn
short,short jj
shots,shots nns
should be included,should md be vb included vbn
should be installed,should md be vb installed vbn
should be paid,should md be vb paid vbn
should be programmed,should md be vb programmed vbn
should be shopped,should md be vb shopped vbn
show,show nn
showing,showing vbg
shown,shown vbn
shows,shows nns
shrink,shrink nn
shrinked,shrinked vbn
shroud,shroud nn
shrouds,shrouds nns
shut,shut nn
shutdown,shutdown nn
shuts down,shuts nns down rp
shutting,shutting vbg
side,side nn
siemens,siemens nns
sign,sign nn
signal,signal nn
significantly reduced,significantly rb reduced vbn
signs,signs nns
silva,silva nn
simon,simon nn
since hrs,since in_pos hrs nn
singapore,singapore nn
singh,singh nn
sistem,sistem nn
sitting,sitting vbg
size,size nn
sized,sized vbn
sketch,sketch nn
skid,skid nn
skt,skt nn
slack,slack nn
slackened,slackened vbn
slided,slided vbd
slightly different,slightly rb different jj
slitter,slitter nn
small,small jj
smart,smart nn
snapped,snapped vbd
snapping,snapping vbg
snr,snr nn
so close,so rb close rb
so decided,so rb decided vbd
so farthis,so rb farthis jj
so greased,so rb greased jj
so i,so rb i jj
so new,so rb new jj
so opened,so rb opened jj
so replaced,so rb replaced jj
so step,so rb step nn
so switched,so rb switched jj
so that belt,so rb that in_pos belt nn
socket,socket nn
soft,soft jj
software,software nn
solidly attached,solidly rb attached vbd
solution,solution nn
some areas,some dt areas nns
some bolts,some dt bolts nns
some dirt,some dt dirt nn
some fittingsthexact,some dt fittingsthexact nn
some motor,some dt motor nn
some places,some dt places nns
some play,some dt play nn
some reason,some dt reason nn
some step,some dt step nn
some support,some dt support nn
some vibrating,some dt vibrating nn
some vibration,some dt vibration nn
somewhat overgreased,somewhat rb overgreased vbd
sonya,sonya nn
soon as cemetn unit,soon rb as in_pos cemetn nn unit nn
sound,sound nn
sounds,sounds nns
sourced,sourced vbn
space,space nn
spare,spare nn
spares,spares nns
spark,spark nn
specifications,specifications nns
specs,specs nn
speed,speed nn
split,split nn
spot,spot nn
spots,spots nns
spr,spr nn
spring,spring nn
spte,spte nn
spudding,spudding vbg
spun,spun nn
sr,sr nn
ss,ss nn
ssirclip,ssirclip nn
stack,stack nn
stacking,stacking vbg
stainless,stainless nn
staitons,staitons nns
stand,stand nn
standards,standards nns
standpipe,standpipe nn
starboard,starboard nn
start,start nn
start recorded,start nn recorded vbd
starte,starte nn
started,started vbn
starter,starter nn
starters,starters nns
